,ID,author,year,title,keywords,journal,eprint,doi,adsurl
20,Hough2020MNRAS.499.2104H,"Hough, Tom\'as and Gurung-L\'opez, Siddhartha and Orsi, \'Alvaro and Cora, Sof\'\ia A. and Lacey, Cedric G. and Baugh, Carlton M.",2020,Are Ly \ensuremath\alpha emitters segregated in protoclusters regions?,"protoclusters, Ly-alpha-galaxies",MNRAS,2009.13542,10.1093/mnras/staa3027,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.2104H
21,Hu2021NatAs...5..485H,"Hu, Weida and Wang, Junxian and Infante, Leopoldo and Rhoads, James E. and Zheng, Zhen-Ya and Yang, Huan and Malhotra, Sangeeta and Barrientos, L. Felipe and Jiang, Chunyan and Gonz\'alez-L\'opez, Jorge and Prieto, Gonzalo and Perez, Lucia A. and Hibon, Pascale and Galaz, Gaspar and Coughlin, Alicia and Harish, Santosh and Kong, Xu and Kang, Wenyong and Khostovan, Ali Ahmad and Pharo, John and Valdes, Francisco and Wold, Isak and Walker, Alistair R. and Zheng, XianZhong",2021,A Lyman-\ensuremath\alpha protocluster at redshift 6.9,protoclusters,Nature Astronomy,2101.10204,10.1038/s41550-020-01291-y,https://ui.adsabs.harvard.edu/abs/2021NatAs...5..485H
22,Huang2021ApJ...921....4H,"Huang, Yun and Lee, Kyoung-Soo and Shi, Ke and Malavasi, Nicola and Xue, Rui and Dey, Arjun",2021,"The Role of Dust, UV Luminosity and Large-scale Environment on the Escape of Ly\ensuremath\alpha Photons: A Case Study of a Protocluster Field at z = 3.1","IGM, protoclusters, Ly-alpha-galaxies",ApJ,2104.11354,10.3847/1538-4357/ac1acc,https://ui.adsabs.harvard.edu/abs/2021ApJ...921....4H
23,Ito2020ApJ...899....5I,"Ito, Kei and Kashikawa, Nobunari and Toshikawa, Jun and Overzier, Roderik and Kubo, Mariko and Uchiyama, Hisakazu and Liang, Yongming and Onoue, Masafusa and Tanaka, Masayuki and Komiyama, Yutaka and Lee, Chien-Hsiu and Lin, Yen-Ting and Marinello, Murilo and Martin, Crystal L. and Shibuya, Takatoshi",2020,The UV Luminosity Function of Protocluster Galaxies at z \ensuremath\sim 4: The Bright-end Excess and the Enhanced Star Formation Rate Density,protoclusters,ApJ,2007.02961,10.3847/1538-4357/aba269,https://ui.adsabs.harvard.edu/abs/2020ApJ...899....5I
24,Krishnan2017MNRAS.470.2170K,"Krishnan, Charutha and Hatch, Nina A. and Almaini, Omar and Kocevski, Dale and Cooke, Elizabeth A. and Hartley, William G. and Hasinger, Guenther and Maltby, David T. and Muldrew, Stuart I. and Simpson, Chris",2017,Enhancement of AGN in a protocluster at z = 1.6,"meta-analysis, protoclusters, 1.AGNinCLvsField",MNRAS,1705.10799,10.1093/mnras/stx1315,https://ui.adsabs.harvard.edu/abs/2017MNRAS.470.2170K
25,Kuiper2011MNRAS.417.1088K,"Kuiper, E. and Hatch, N.~A. and Venemans, B.~P. and Miley, G.~K. and R\""ottgering, H.~J.~A. and Kurk, J.~D. and Overzier, R.~A. and Pentericci, L. and Bland-Hawthorn, J. and Cepa, J.",2011,Discovery of a high-z protocluster with tunable filters: the case of 6C0140+326 at z= 4.4,protoclusters,MNRAS,1106.5495,10.1111/j.1365-2966.2011.19324.x,https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.1088K
26,Kurk2004A&A...428..817K,"Kurk, J.~D. and Pentericci, L. and Overzier, R.~A. and R\""ottgering, H.~J.~A. and Miley, G.~K.",2004,A search for clusters at high redshift. IV. Spectroscopy of H\ensuremath\alpha emitters in a proto-cluster at z = 2.16,protoclusters,A\&A,astro-ph/0410203,10.1051/0004-6361:20041819,https://ui.adsabs.harvard.edu/abs/2004A&A...428..817K
27,Kurk2004A&A...428..793K,"Kurk, J.~D. and Pentericci, L. and R\""ottgering, H.~J.~A. and Miley, G.~K.",2004,A search for clusters at high redshift. III. Candidate H\ensuremath\alpha emitters and EROs in the PKS 1138-262 proto-cluster at z = 2.16,protoclusters,A\&A,astro-ph/0410202,10.1051/0004-6361:20040075,https://ui.adsabs.harvard.edu/abs/2004A&A...428..793K
28,Lee2014ApJ...796..126L,"Lee, Kyoung-Soo and Dey, Arjun and Hong, Sungryong and Reddy, Naveen and Wilson, Christian and Jannuzi, Buell T. and Inami, Hanae and Gonzalez, Anthony H.",2014,Discovery of a Very Large Structure at z = 3.78,protoclusters,ApJ,1405.2620,10.1088/0004-637X/796/2/126,https://ui.adsabs.harvard.edu/abs/2014ApJ...796..126L
29,Lemaux2014A&A...572A..41L,"Lemaux, B.~C. and Cucciati, O. and Tasca, L.~A.~M. and Le F\`evre, O. and Zamorani, G. and Cassata, P. and Garilli, B. and Le Brun, V. and Maccagni, D. and Pentericci, L. and Thomas, R. and Vanzella, E. and Zucca, E. and Amor\'\in, R. and Bardelli, S. and Capak, P. and Cassar\`a, L.~P. and Castellano, M. and Cimatti, A. and Cuby, J.~G. and de la Torre, S. and Durkalec, A. and Fontana, A. and Giavalisco, M. and Grazian, A. and Hathi, N.~P. and Ilbert, O. and Moreau, C. and Paltani, S. and Ribeiro, B. and Salvato, M. and Schaerer, D. and Scodeggio, M. and Sommariva, V. and Talia, M. and Taniguchi, Y. and Tresse, L. and Vergani, D. and Wang, P.~W. and Charlot, S. and Contini, T. and Fotopoulou, S. and Gal, R.~R. and Kocevski, D.~D. and L\'opez-Sanjuan, C. and Lubin, L.~M. and Mellier, Y. and Sadibekova, T. and Scoville, N.",2014,VIMOS Ultra-Deep Survey (VUDS): Witnessing the assembly of a massive cluster at z \raisebox-0.5ex\textasciitilde 3.3,protoclusters,A\&A,1403.4230,10.1051/0004-6361/201423828,https://ui.adsabs.harvard.edu/abs/2014A&A...572A..41L
30,Lemaux2022A&A...662A..33L,"Lemaux, B.~C. and Cucciati, O. and Le F\`evre, O. and Zamorani, G. and Lubin, L.~M. and Hathi, N. and Ilbert, O. and Pelliccia, D. and Amor\'\in, R. and Bardelli, S. and Cassata, P. and Gal, R.~R. and Garilli, B. and Guaita, L. and Giavalisco, M. and Hung, D. and Koekemoer, A. and Maccagni, D. and Pentericci, L. and Ribeiro, B. and Schaerer, D. and Shah, E. and Shen, L. and Staab, P. and Talia, M. and Thomas, R. and Tomczak, A.~R. and Tresse, L. and Vanzella, E. and Vergani, D. and Zucca, E.",2022,The VIMOS Ultra Deep Survey: The reversal of the star-formation rate \ensuremath- density relation at 2 < z < 5,"GALinCLvsField, stats-surveys, protoclusters",A\&A,2009.03324,10.1051/0004-6361/202039346,https://ui.adsabs.harvard.edu/abs/2022A&A...662A..33L
31,Li2022arXiv220505517L,"Li, Qingyang and Yang, Xiaohu and Liu, Chengze and Jing, Yipeng and He, Min and Huang, Jiasheng and Dai, Y. Sophia and Sawicki, Marcin and Arnouts, Stephane and Gwyn, Stephen and Moutard, Thibaud and Mo, H.~J. and Wang, Kai and Katsianis, Antonios and Cui, Weiguang and Han, Jiaxin and Chiu, I-Non and Gu, Yizhou and Xu, Haojie",2022,Groups and protocluster candidates in the CLAUDS and HSC-SSP joint deep surveys,protoclusters,arXiv e-prints,2205.05517,,https://ui.adsabs.harvard.edu/abs/2022arXiv220505517L
32,Li2019ApJ...886..130L,"Li, Shanghuo and Zhang, Qizhou and Pillai, Thushara and Stephens, Ian W. and Wang, Junzhi and Li, Fei",2019,Formation of Massive Protostellar Clusters\textemdashObservations of Massive 70 \ensuremath\mum Dark Molecular Clouds,protoclusters,ApJ,1909.08916,10.3847/1538-4357/ab464e,https://ui.adsabs.harvard.edu/abs/2019ApJ...886..130L
33,Mantz2014ApJ...794..157M,"Mantz, A.~B. and Abdulla, Z. and Carlstrom, J.~E. and Greer, C.~H. and Leitch, E.~M. and Marrone, D.~P. and Muchovej, S. and Adami, C. and Birkinshaw, M. and Bremer, M. and Clerc, N. and Giles, P. and Horellou, C. and Maughan, B. and Pacaud, F. and Pierre, M. and Willis, J.",2014,The XXL Survey. V. Detection of the Sunyaev-Zel'dovich Effect of the Redshift 1.9 Galaxy Cluster XLSSU J021744.1-034536 with CARMA,"XXL, protoclusters",ApJ,1401.2087,10.1088/0004-637X/794/2/157,https://ui.adsabs.harvard.edu/abs/2014ApJ...794..157M
34,Matsuda2010MNRAS.403L..54M,"Matsuda, Y. and Richard, J. and Smail, Ian and Kashikawa, N. and Shimasaku, K. and Frye, B.~L. and Yamada, T. and Nakamura, Y. and Hayashino, T. and Fujii, T.",2010,A search for galaxies in and around an HI overdense region at z = 5,protoclusters,MNRAS,1001.1943,10.1111/j.1745-3933.2010.00814.x,https://ui.adsabs.harvard.edu/abs/2010MNRAS.403L..54M
35,Monson2021ApJ...919...51M,"Monson, Erik B. and Lehmer, Bret D. and Doore, Keith and Eufrasio, Rafael T. and Bonine, Brett and Alexander, David M. and Harrison, Chris M. and Kubo, Mariko and Mantha, Kameswara B. and Saez, Cristian and Straughn, Amber and Umehata, Hideki",2021,On the Nature of AGN and Star Formation Enhancement in the z = 3.1 SSA22 Protocluster: The HST WFC3 IR View,protoclusters,ApJ,2106.13846,10.3847/1538-4357/ac0f84,https://ui.adsabs.harvard.edu/abs/2021ApJ...919...51M
36,Newman2014ApJ...788...51N,"Newman, Andrew B. and Ellis, Richard S. and Andreon, Stefano and Treu, Tommaso and Raichoor, Anand and Trinchieri, Ginevra",2014,Spectroscopic Confirmation of the Rich z = 1.80 Galaxy Cluster JKCS 041 using the WFC3 Grism: Environmental Trends in the Ages and Structure of Quiescent Galaxies,protoclusters,ApJ,1310.6754,10.1088/0004-637X/788/1/51,https://ui.adsabs.harvard.edu/abs/2014ApJ...788...51N
37,Ouchi2005ApJ...620L...1O,"Ouchi, Masami and Shimasaku, Kazuhiro and Akiyama, Masayuki and Sekiguchi, Kazuhiro and Furusawa, Hisanori and Okamura, Sadanori and Kashikawa, Nobunari and Iye, Masanori and Kodama, Tadayuki and Saito, Tomoki and Sasaki, Toshiyuki and Simpson, Chris and Takata, Tadafumi and Yamada, Toru and Yamanoi, Hitomi and Yoshida, Makiko and Yoshida, Michitoshi",2005,The Discovery of Primeval Large-Scale Structures with Forming Clusters at Redshift 6,protoclusters,ApJ,astro-ph/0412648,10.1086/428499,https://ui.adsabs.harvard.edu/abs/2005ApJ...620L...1O
